ID,URL,店舗名,カテゴリ,地域,お一人様予算,住所,電話番号,営業時間,クレジットカード,定休日,URL (Google map),lat,lng,Blog 1 (title),Blog 1 (URL),Blog 2 (title),Blog 2 (URL),Blog 3 (title),Blog 3 (URL),Blog 4 (title),Blog 4 (URL),ウェブサイト,,
19,http://www.bangmeshi.com/shop/somtum-der/,Somtum Der,タイ料理,Thong Lo,普通,"351/2, Soi Thong Lo 17, Sukhumvit 55 Rd.",02-046-4904,"11:00-14:30, 16:30-22:30 (L.O.22:00)",VISA/MASTER,なし,https://goo.gl/maps/8rctdDox1BU2,13.7298713,100.5479172,【タ】 オシャレなタイ料理レストラン　Somtum Der　at　トンローSoi17 | サーヤのバンコクだらだら日記,http://sayabangkok.doorblog.jp/archives/52238336.html,,,,,,,"<a href=""""http://somtumder.com/"""" target=""""_blank"""" rel=""""nofollow"""">http://somtumder.com/</a>",,
20,http://www.bangmeshi.com/shop/izakaya555/,居酒屋555,居酒屋,Phra Khanong,普通,"1106 Room NO.110 1F, Sukhumvit Rd.",02-392-3525,"11:00-15:00, 17:00-24:00(L.O.23:30)",VISA/MASTER,なし,https://goo.gl/maps/eXz4nzgjaFs,13.7147026,100.589367,【バンコク・ニューオープン】駅前でリーズナブルに飲める！香川県高松市発の「居酒屋555」 | 続・Weekender@Bangkok,https://weekenderbangkok.com/entry/2018/06/09/113838,,,,,,,"<a href="""""""" target=""""_blank"""" rel=""""nofollow""""></a>",,
21,http://www.bangmeshi.com/shop/yakiniku-do/,焼肉道,焼肉,Thong Lo,普通,58/2 Sukhumvit 55 Rd.,"02-392-3268,082-540-1890（日本人）",12:00-24:00 (L.O.),準備中,不定休,https://goo.gl/maps/625PgbBAkPx,13.7252248,100.5773466,,,,,,,,,"<a href="""""""" target=""""_blank"""" rel=""""nofollow""""></a>",,
22,http://www.bangmeshi.com/shop/hitachino/,ひたち野,ダイニング,Phrom Phong,高め,"10/5 Soi 26, Sukhumvit Rd.","090-003-6547（日本語）, 02-258-4883",火-土17:30-24:00(L.O.23:30) 日祝17:00-23:00(L.O.22:30),VISA/MASTER/JCB,月曜日,https://goo.gl/maps/phepVEfYc8z,13.7283907,100.5702609,【和】 個室が全11部屋♪接待にもおすすめ　ひたち野　at　Sukhumvit Soi26 | サーヤのバンコクだらだら日記,http://sayabangkok.doorblog.jp/archives/52236528.html,,,,,,,禁酒日,"<a href="""""""" target=""""_blank"""" rel=""""nofollow""""></a>",
23,http://www.bangmeshi.com/shop/taisyoken/,大勝軒,ラーメン,Thong Lo,手軽,"1F Fifty Fifth Thonglor, 90 Soi Thong Lo 2, Soi Sukhumvit 55 Rd.",02-010-1557,11:00-24:00,,なし,https://goo.gl/maps/3npQkLVaA9M2,13.7260806,100.578158,トンローの【よね田大勝軒】改め【大勝軒】へ行ってきた！ | バンコクに一生住む？,https://bkk-issyou.net/thonglor-taisyouken,,,,,,,"<a href="""""""" target=""""_blank"""" rel=""""nofollow""""></a>",,
24,http://www.bangmeshi.com/shop/nihonsaiseisakaba/,日本再生酒場,和食,Phrom Phong,普通,"100/68 Warehouse 26 Soi 26, Sukhumvit Rd","02-070-7676, 086-668- 0654",17:00-24:00,VISA/ MASTER/ JCB,なし,https://goo.gl/maps/85muabpWgVm,13.7211755,100.5685151,【酒】　日本からやってきた焼き豚屋　日本再生酒場　at Sukhumvit Soi 26 | サーヤのバンコクだらだら日記,http://sayabangkok.doorblog.jp/archives/52212936.html,,,,,,,"<a href="""""""" target=""""_blank"""" rel=""""nofollow""""></a>",,
25,http://www.bangmeshi.com/shop/maillard-butcher-steak/,Maillard Butcher & Steak,ダイニング,Silom,高め,"18/9-10 Soi 11, Sathorn Rd.","084-106-3333(EN), 094 - 676 -7998 ( TH)",17:30-22:00(Butcher shop: 14:00-22:00),VISA/ MASTER,月,https://goo.gl/maps/BjFANf2t4XL2,13.7194944,100.5242659,サトーンにオープンした熟成肉のステーキハウス【Maillard Butcher & Steak】へ行ってきた！ | バンコクに一生住む？,https://bkk-issyou.net/maillard-butcher-steak,,,,,,,"<a href="""""""" target=""""_blank"""" rel=""""nofollow""""></a>",,
26,http://www.bangmeshi.com/shop/yokohama/,個室居酒屋 横浜,和食,Thong Lo,普通,"3F Arena10 Soi Thong Lo 10, Soi Sukhumvit 55 Rd.",02-392-2129,18:00-4:00 （日曜のみ1:00閉店）,VISA/ MASTER/ JCB,なし,https://goo.gl/maps/FrvoT8Mykfn,13.7323323,100.5824385,【酒】　全室個室の居酒屋　横浜　(YOKOHAMA)　at　トンローSoi10 | サーヤのバンコクだらだら日記,http://sayabangkok.doorblog.jp/archives/52210510.html,,,,,,,"<a href="""""""" target=""""_blank"""" rel=""""nofollow""""></a>",,
27,http://www.bangmeshi.com/shop/sunder-beef/,Sunder Beef,ダイニング,Ekkamai,高め,"1F The Horizon 8, Soi 63, Sukhumvit Rd.",02- 041-1029,"火-日17:00- 23:00(L.O.22:00), 土日は昼も 営業11:30-14:00(L.O.13:30) ",VISA/ MASTER/ JCB,月,https://goo.gl/maps/obCE2BFW6fy,13.721286,100.5826463,,,,,,,,,"<a href="""""""" target=""""_blank"""" rel=""""nofollow""""></a>",,
28,http://www.bangmeshi.com/shop/hyakumangoku/,尾道ラーメン百万石,ラーメン,Phra Khanong,手軽,"36 Soi 71, Sukhumvit Rd.",89-788-5924,18:00-2:00 (L.O.1:00),,月,https://goo.gl/maps/7F8C6vUaEPt,13.7156504,100.5929791,プラカノンのラーメン屋【百万石】はリーズナブルな値段で尾道ラーメンが食べられます！ | バンコクに一生住む？,https://bkk-issyou.net/hyakumangoku,,,,,,,"<a href="""""""" target=""""_blank"""" rel=""""nofollow""""></a>",,
29,http://www.bangmeshi.com/shop/grill-kitchen-passion-orange/,Grill kitchen Passion Orange,洋食,Phra Khanong,普通,"198 Soi 71, Sukhumvit Rd.",02-381-5754（日本人常駐）,11:00-24:00,,月,https://goo.gl/maps/rtMatYCCVHv,13.717839,100.5944414,プラカノンの洋食屋【Passion Orange（パッションオレンジ）】のメガローストビーフライスが凄い！ | バンコクに一生住む？,https://bkk-issyou.net/passion-orange,,,,,,,"<a href="""""""" target=""""_blank"""" rel=""""nofollow""""></a>",,
30,http://www.bangmeshi.com/shop/on-yasai-thonglor/,しゃぶしゃぶ温野菜,和食,Thong Lo,普通,115 Sukhumvit 55 Rd.,095-665-4894（日本人直通 携帯）,"11:30-14:00, 17:30- 23:00",VISA/ MASTER/ JCB,なし,https://goo.gl/maps/zmo7EpGLhVM2,13.7290754,100.5786129,,,,,,,,,"<a href="""""""" target=""""_blank"""" rel=""""nofollow""""></a>",,
31,http://www.bangmeshi.com/shop/you-you-tey/,洋々亭,洋食,Phrom Phong,手軽,"38/7 Soi 22, Sukhumvit Rd.",02-000-3531,"平日 11:30-(L.O.14:00), 17:00- (L.O.22:00) 土日祝11:30- (L.O.22:00)",,お店にお問い合わせください,https://goo.gl/maps/duGg9TbuZCv,13.728906,100.5628496,バンコクの洋食屋【洋々亭】へ行ってきた！オムライス！ハンバーグ！ | バンコクに一生住む？,https://bkk-issyou.net/youyoutei,,,,,,,"<a href="""""""" target=""""_blank"""" rel=""""nofollow""""></a>",,
32,http://www.bangmeshi.com/shop/nikukappo/,肉割烹,居酒屋,Thong Lo,高め,"139 The Opus Building, Soi Thonglor 10, Sukhumvit Rd",095-792-2360,"町田/魚寿司11:00-24:00, 鉄板肉割烹18:00-24:00",,なし,https://goo.gl/maps/R3aQVaRJk1v,13.7323817,100.5803835,,,,,,,,,"<a href="""""""" target=""""_blank"""" rel=""""nofollow""""></a>",,
33,http://www.bangmeshi.com/shop/kama-ten/,釜天 (EmQuartier),和食,Phrom Phong,普通,EmQuartier 地下１階,02-258-3206,10:00-22:00,,,https://goo.gl/maps/tDN5aUdktAs,13.731162,100.569788,,,,,,,,,"<a href=""""Kama Ten"""" target=""""_blank"""" rel=""""nofollow"""">Kama Ten</a>",,
34,http://www.bangmeshi.com/shop/tonkatsu-egg-bowl/,とんかつ＆エッグボール,和食,Phrom Phong,普通,"Sakura Home, Soi 35, Sukhumvit Rd.",,11:00-21:00 (L.O.20:30),VISA/MASTER/JCB,不定休,https://goo.gl/maps/HgsRpdMNVPN2,13.7332218,100.5671086,,,,,,,,,"<a href="""""""" target=""""_blank"""" rel=""""nofollow""""></a>",,
35,http://www.bangmeshi.com/shop/kappo-hyotan/,割烹ひょうたん,ダイニング,Thong Lo,普通,"Soi Tararom 2, Sukhumvit 55 Rd.","02-391-9169, 094-420-2444(日本語)",17:30-24:00 (L.O.23:00),VISA/MASTER/JCB,日,https://goo.gl/maps/b6gdaLgMpjR2,13.7367381,100.5825882,,,,,,,,,"<a href="""""""" target=""""_blank"""" rel=""""nofollow""""></a>",,
36,http://www.bangmeshi.com/shop/noji-an/,十割そば酒場 のじ庵,そば・うどん,Silom,普通,9/33 Surawong Rd.,02-235-2694,11:00-2:00 (L.O.1:30),,なし,https://goo.gl/maps/WDMWsxjE7EJ2,13.7299534,100.5317191,タニヤ通りのそば居酒屋【十割そば酒場　のじ庵】に行ってきた！ | バンコクに一生住む？,https://bkk-issyou.net/nojian,,,,,,,"<a href="""""""" target=""""_blank"""" rel=""""nofollow""""></a>",,
37,http://www.bangmeshi.com/shop/restaurant-hokkaido/,レストラン北海道 (Gateway Ekamai),居酒屋,Ekkamai,普通,"982/22, GATEWAY EKAMAI, MF Floor., Sukhumvit Road, Prakanong, Khet Klongtoey, Bangkok, 10110","スリウォン本店:02-238-0961, エカマイゲートウェイ店:02-108-2668","スリウォン本店:11:30-15:00, 17:00-23:00, エカマイゲートウェイ店:11:00-22:00",VISA/MASTER/JCB,なし,https://goo.gl/maps/boESYDyrEeS2,13.7187239,100.5676624,,,,,,,,,"<a href=""""http://restaurant-hokkaido.com/"""" target=""""_blank"""" rel=""""nofollow"""">http://restaurant-hokkaido.com/</a>",,
38,http://www.bangmeshi.com/shop/okonomiyaki-seiryu/,お好み焼き 青龍,和食,Phrom Phong,普通,"Soi 24/1, Sukhumvit Rd.",02-007-0344,17:00-1:00,-,火,https://goo.gl/maps/LZHwnX1yVuT2,13.729136,100.5708475,【バンコク・お好み焼き】リーズナブルなのが嬉しい！プロンポン「お好み焼き 青龍」 | 続・Weekender@Bangkok,https://weekenderbangkok.com/entry/2018/06/24/183210,,,,,,,"<a href="""""""" target=""""_blank"""" rel=""""nofollow""""></a>",,
39,http://www.bangmeshi.com/shop/fujisanyoganyakimodern/,富士山溶岩焼き モダン,和食,Phrom Phong,普通,"225 Soi Sukhmvit 41 , Khlong Toei Nuea , Watthana , BKK",096-137-0094(日本語),17：00-24：00,V/M/JCB,年末年始・ソンクラーン,https://goo.gl/maps/YawggbUBxdG2,13.7295424,100.5702923,【焼】　11月にオープンしたばかり　富士山溶岩焼モダン　at　Sukhumvit Soi 41 | サーヤのバンコクだらだら日記,http://sayabangkok.doorblog.jp/archives/52203281.html,,,,,,,"<a href="""""""" target=""""_blank"""" rel=""""nofollow""""></a>",,
40,http://www.bangmeshi.com/shop/yakinikufukufuku/,焼肉　ふく福,焼肉,Asok,普通,"120/1-2 Soi 23, Sukhumvit Rd.","089-664-5196, 02-005-8090",17:00-23:00(L.O.22:00),V/MS/JCB,-,https://goo.gl/maps/8C427JjdgEL2,13.7392539,100.5631869,,,,,,,,,"<a href="""""""" target=""""_blank"""" rel=""""nofollow""""></a>",,
41,http://www.bangmeshi.com/shop/hide-out-bistro-bar/,Hide Out Bistro Bar,バー,Phrom Phong,普通,393/2 Saen Suk Alley,097-031-1898,18:00-LAST,VISA/MASTER/JCB,不定休,https://goo.gl/maps/neW72X6GHvw,13.72004,100.5705132,【肉】　ひっそりと人気のあるお店　HIDE OUT Bistro Bar　at　Sukhumvit Soi38 | サーヤのバンコクだらだら日記,http://sayabangkok.doorblog.jp/archives/52210019.html,,,,,,,"<a href="""""""" target=""""_blank"""" rel=""""nofollow""""></a>",,
42,http://www.bangmeshi.com/shop/cocoro-japanese-cuisine/,Cocoro Japanese Cuisine（こころ）,居酒屋,Thong Lo,普通,"44/11 Soi Thong lo 13, Sukhumvit 55 Rd.",02-038-7513,"月-金17:00-2:00, 土12:00-2:00, 日祝12:00-22:00",VISA/MASTER/JCB,,https://goo.gl/maps/XzY8vQSt5xJ2,13.7344163,100.5743605,【和】グランドメニューがリニューアル！　COCORO Japanese Cuisine　at トンローSoi13 | サーヤのバンコクだらだら日記,http://sayabangkok.doorblog.jp/archives/52242113.html,,,,,,,"<a href="""""""" target=""""_blank"""" rel=""""nofollow""""></a>",,
43,http://www.bangmeshi.com/shop/kinsei/,日本料理 金星,ダイニング,Phrom Phong,普通,"GF Metropolis Bldg., Between Soi 39 and Soi 41, Sukhumvit Rd.",02-258-3031,11:30-22:00,VISA/MASTER/JCB,なし,https://goo.gl/maps/bwm1JaSbVxT2,13.729679,100.5690363,プロンポン駅近の「日本料理 金星」で美味しい和食ランチ@ソイ39-41 | BANGKOK GIRLS NOTE,https://www.bangkok-pukuko.com/entry/kinsei-bangkok,【和】　プロンポンに新しくできた和食レストラン　日本料理　金星　(きんせい)　 | サーヤのバンコクだらだら日記,http://sayabangkok.doorblog.jp/archives/52197159.html,,,,,"<a href="""""""" target=""""_blank"""" rel=""""nofollow""""></a>",,
44,http://www.bangmeshi.com/shop/bangkoktsurukame/,曼谷鶴亀,居酒屋,Thong Lo,高め,"161/23 Soi Thong Lo 9, Sukhumvit 55 Rd.",02-392-2182,17:00-24:00(L.O.23:30),VISA/MASTER/JCB,日,https://goo.gl/maps/poeaGfTg5w52,13.7312113,100.5789505,【鰯】　鰯(イワシ)専門店　曼谷鶴亀　(バンコクツルカメ)　at トンロー Soi 9 | サーヤのバンコクだらだら日記,http://sayabangkok.doorblog.jp/archives/52195612.html,,,,,,,"<a href="""""""" target=""""_blank"""" rel=""""nofollow""""></a>",,
45,http://www.bangmeshi.com/shop/menya-itto/,麵屋 一燈,ラーメン,Chit Lom,普通,"LG Erawan Bangkok, Phloenchit Rd.",-,"月-金 11:30-15:30,18:00-21:00土日祝11:30-21:00",VISA/MASTER/JCB,なし,https://goo.gl/maps/cNwip1KvUSH2,13.744195,100.5387037,日本でも大人気！バンコクにオープンした【麵屋一燈】へ行ってきた！ | バンコクに一生住む？,https://bkk-issyou.net/menyaittoubkk,,,,,,,"<a href="""""""" target=""""_blank"""" rel=""""nofollow""""></a>",,
46,http://www.bangmeshi.com/shop/nuvola-caffe-milanese/,Nuvola Caffè Milanese,イタリアン,Thong Lo,普通,"Soi Thong Lo 5, Sukhumvit 55 Rd.",02-712-7817※予約・デリバリーも受付,10:00-22:00,VISA/MASTER,月,https://goo.gl/maps/B8tGfM1m5xu,13.728173,100.5773563,素敵な一軒家レストラン「Nuvola Caffé Milanese（ヌヴォラ カフェ ミラネーゼ）」@トンローソイ5 | BANGKOK GIRLS NOTE,https://www.bangkok-pukuko.com/entry/nuvolacaffemilanese,,,,,,,"<a href="""""""" target=""""_blank"""" rel=""""nofollow""""></a>",,
47,http://www.bangmeshi.com/shop/dat-wich/,Dat Wich,洋食,Thong Lo,普通,Sukhumvit Thonglor55 Rd.,02-392-6426,8:00-22:00,,なし,https://goo.gl/maps/Du5LQXooviM2,13.7255595,100.5775792,イングリッシュマフィンがおすすめのオシャレカフェ「DAT WICH（ダット イッチ）」＠トンロー | BANGKOK GIRLS NOTE,https://www.bangkok-pukuko.com/entry/2016-05-14-100000,,,,,,,"<a href="""""""" target=""""_blank"""" rel=""""nofollow""""></a>",,
48,http://www.bangmeshi.com/shop/aburi-ishida/,あぶり石田,居酒屋,Thong Lo,普通,"Soi 51, Sukhumvit Rd.","062-779-2129, 064-014-5162",18:00-2:00,,火,https://goo.gl/maps/MHoxEHP7LtT2,13.7295903,100.57444,【炙】　6月にオープンしたばかりの日本からやってきたお店　炙り石田　at Sukhumvit Soi 51 | サーヤのバンコクだらだら日記,http://sayabangkok.doorblog.jp/archives/52186530.html,,,,,,,"<a href="""""""" target=""""_blank"""" rel=""""nofollow""""></a>",,
49,http://www.bangmeshi.com/shop/pizza-massilia/,PIZZA MASSILIA,イタリアン,Thong Lo,普通,"1/8 Soi 49, Sukhumvit Rd.",02-015-0297,"11:30-14:30 (L.O.14:00), 17:30-23:00 (L.O.22:30)",VISA/MASTER/AMEX/DINERS/JCB,なし,https://goo.gl/maps/k8vb8txNtxw,13.7271469,100.5731355,「Pizza Massilia（ピザ マッシリア）」のピザはペッピーナを超える！？食べ比べてきました@ソイ49 | BANGKOK GIRLS NOTE,https://www.bangkok-pukuko.com/entry/pizzamassilia-bangkok,【伊】　薪を焼いてピザを作ってます　Pizza Massilia　at　Sukhumvit Soi 49 | サーヤのバンコクだらだら日記,http://sayabangkok.doorblog.jp/archives/52209214.html,,,,,"<a href=""""www.pizzamassilia.com"""" target=""""_blank"""" rel=""""nofollow"""">www.pizzamassilia.com</a>",,
50,http://www.bangmeshi.com/shop/jukusei-shoyu-soba-wakyu/,熟成醤油そば 和久,ラーメン,Thong Lo,普通,"3/2 Soi 51, Sukhumvit Rd.",02-258-9584,"火-金 17:00-24:00, 土日祝11:30-15:00, 18:00-22:00",,月 （祝日は振替営業）,https://goo.gl/maps/pWydAfTq4492,13.7264067,100.5743299,スクンビットにある【熟成醤油そば和久】で名古屋まぜそばを食べてきた！ | バンコクに一生住む？,https://bkk-issyou.net/wakyu-mazesoba,,,,,,,"<a href="""""""" target=""""_blank"""" rel=""""nofollow""""></a>",,
